"product_id","product_name","selling_price","brand_id","top_note","heart_note","base_note","website_id"
1,Christian Dior Miss Dior Blooming Bouquet 淡香水套裝 2件裝,949.0,39,香豌豆、香檸檬,玫瑰、牡丹,白麝香,1
2,Christian Dior Miss Dior Blooming Bouquet 淡香水5毫升,98.0,39,香豌豆、香檸檬,玫瑰、牡丹,白麝香,1
3,Christian Dior Miss Dior Wake up for Love 香水 50毫升,749.0,39,鈴蘭、牡丹、鳶尾花、翠綠露水,五月玫瑰,麝香木、巴布亞香草、安息香、零陵香豆、檀木,1
4,Christian Dior Miss Dior Rose N Roses 淡香水 50毫升,616.0,39,格拉斯和大馬士革玫瑰,意大利柑橘、佛手柑和天竺葵,白麝香,1
5,Christian Dior J’adore Parfum D’eau 淡香精 100毫升,1159.0,39,NaN,NaN,NaN,1
6,Christian Dior J'adore L'Or 香精 50毫升,1190.0,39,橙花,茉莉、玫瑰,香草,1
7,Christian Dior Sauvage 香精 100毫升,967.0,39,柑橘,陵香豆、檀香木,NaN,1
8,Christian Dior Miss Dior Wake up for Love 香水 5毫升,98.0,39,鈴蘭、牡丹、鳶尾花、翠綠露水,五月玫瑰,麝香木、巴布亞香草、安息香、零陵香豆、檀木,1
9,Christian Dior Miss Dior Rose N’Roses 淡香水 5毫升,98.0,39,格拉斯和大馬士革玫瑰,意大利柑橘、佛手柑和天竺葵,白麝香,1
10,Christian Dior J’adore 淡香水 100毫升,928.0,39,血橙精華,瓦洛里橙花,大馬士革玫瑰精華,1
11,Christian Dior 真我噴式香水 50亳升,835.0,39,NaN,NaN,NaN,1
12,Christian Dior 真我噴式香水 100亳升,1065.0,39,NaN,NaN,NaN,1
13,Christian Dior Miss Dior Rose N Roses 淡香水 100毫升,760.0,39,格拉斯和大馬士革玫瑰,意大利柑橘、佛手柑和天竺葵,白麝香,1
14,Christian Dior J’adore Infinissime 淡香精 50毫升,799.0,39,血橙、佛手柑,格拉斯晚香玉、雙瓣茉莉、依蘭依蘭及五月玫瑰,檀香木,1
15,Christian Dior Sauvage 男士淡香水 100亳升,850.0,39,卡拉布里亞佛手柑,降龍涎香,NaN,1
16,Christian Dior Miss Dior Blooming Bouquet 淡香水 100毫升,855.0,39,香豌豆、香檸檬,玫瑰、牡丹,白麝香,1
17,Christian Dior J’adore Parfum D’eau 淡香精 50毫升,799.0,39,NaN,NaN,NaN,1
18,Christian Dior 迪奥小姐花漾迷你淡香水 5毫升,98.0,39,西西里香橙,牡丹花,白麝香,1
19,Christian Dior Miss Dior Blooming Bouquet走珠淡香水 20毫升,299.0,39,卡拉布里亞香檸檬,大馬士革玫瑰精華、牡丹花,白麝香,1
20,【網店限定】Christian Dior 甜心精靈噴式淡香水(EDT) 100毫升,715.0,39,NaN,NaN,NaN,1
21,【網店限定】Hermes 屋頂花園 淡香水,549.0,17,蘋果、香梨、玫瑰,綠草、羅勒,木蘭,1
22,Hermes 花園系列迷你香水套裝 4件裝,437.0,17,青芒果、葡萄柚•中調：,尼羅河睡蓮、青草香氣•後調：,梧桐、乳香,1
23,Hermes 大地男性淡香水 50亳升,480.0,17,葡萄柚、香橙,天竺葵、玫瑰、廣藿香,安息香、雪松、香根草、甜椒,1
24,Hermes 大地男士淡香水套裝 3件裝,669.0,17,葡萄柚、橙,天竺葵、玫瑰、廣藿香,安息香、香根草、甜椒,1
