"base_note","product_id"
白葡萄柚,1
弗吉尼亞雪松,2
檀香木前調蘋果,3
李子,4
麝香,5
樺木,6
零陵香豆,7
安息香,8
黃檀,9
檀香,10
橡苔,11
麝香,12
零陵香豆,13
牛奶,14
nan,15
麝香,16
木質元素,17
海洋元素,18
檀香,19
椰子,20
麝香,21
香根草,22
麝香,23
檀香,24
廣藿香,25
香根草麂皮藿香木香,26
烏木,27
麝香,28
杏,29
檀木,30
琥珀,31
麝香,32
鹽,33
香草,34
琥珀,35
羊絨木,36
安息香,37
零陵香豆,38
香草,39
灰色琥珀,40
麝香羊絨木,41
檀香木,42
零陵香豆,43
麝香,44
安息香脂,45
香根草,46
雪松,47
迷迭香,48
零陵香豆,49
雪松,50
孜然,51
香根草,52
豆,53
琥珀,54
皮革,55
巨礫,56
香草,57
麝香,58
紫羅蘭糖果,59
雪松,60
檀香,61
香根草,62
橙花,63
琥珀,64
檀木,65
焦糖,66
羊絨木,67
香草,68
廣藿香,69
零陵香豆,70
香草,71
安息香,72
麝香,73
雪松,74
沉香,75
廣藿香,76
唐卡豆,77
法國,78
廣藿香,79
苔蘚,80
檀香木,81
馬達加斯加香草,82
廣藿香,83
雪松,84
香根草,85
安息香,86
雪松,87
廣藿香,88
玫瑰蜂蜜,89
檀香,90
琥珀,91
桃花心木,92
香根草,93
桃李,94
香根草,95
香草,96
澳洲檀香木,97
降龍涎香醚,98
木香調,99
廣藿香,100
龍涎香,101
苔蘚,102
琥珀,103
愈創木,104
老撾烏,105
印尼廣藿香葉,106
檀香,107
琥珀,108
橡苔,109
香草,110
粉紅胡椒,111
咖啡,112
琥珀,113
雪松,114
檀香木,115
琥珀,116
芳香草藥,117
柚木,118
琥珀,119
雪松,120
麝香,121
香根草,122
麝香,123
木香,124
綠色元素,125
雪松風信子,126
麝香,127
檀香,128
琥珀,129
皮革,130
橡樹苔,131
拉巴丹奴姆,132
廣藿香,133
麝香,134
雪松,135
琥珀,136
暹羅安息香,137
雪松弗吉尼亞州,138
麝香,139
琥珀,140
佳美,141
廣藿香,142
安息香,143
香根草,144
雪松,145
香草,146
橡樹,147
雪松,148
香根草,149
香草豆,150
香草,151
木香,152
橡木苔,153
沉香木,154
皮革,155
香根草,156
廣藿香,157
雪松,158
晚香玉,159
廣藿香,160
香根草,161
苔蘚,162
琥珀,163
琥珀,164
廣藿香,165
雪松,166
桃花心木,167
廣藿香,168
橡苔,169
香,170
琥珀,171
香草,172
香根草,173
琥珀,174
麝香,175
廣藿香,176
冷杉,177
雪松,178
檀香木,179
龍涎香,180
蘋果,181
茉莉,182
雪松勞丹脂,183
琥珀,184
廣藿香,185
檀香,186
檀香,187
香草,188
麝香,189
廣藿香,190
海地香根草,191
留尼汪香草,192
白麝香,193
水晶苔,194
暖色木材,195
奶油檀香,196
麝香琥珀檀香雪松雲呢拿,197
廣藿香,198
勞丹脂,199
香草,200
廣藿香,201
琥珀,202
麝香,203
香草,204
檀香,205
癒創木,206
廣藿香,207
麝香,208
廣藿香,209
香根草,210
香根草,211
柏樹,212
廣藿香,213
麝香,214
琥珀,215
香草,216
祕魯香脂,217
喀什米爾木,218
麝香,219
癒創木,220
香根草,221
香根草,222
皮革,223
雪松,224
茉莉,225
麝香,226
廣藿香,227
琥珀,228
燻草豆,229
琥珀,230
零陵香豆琥珀香草香根草麝香欖香脂,231
香草,232
檀香,233
白麝香,234
牛奶,235
香根草癒創木皮革,236
廣藿香,237
麝香,238
馬達加斯加香草,239
廣藿香,240
弗吉尼亞雪松,241
麝香,242
廣藿香,243
雪松,244
琥珀木,245
琥珀,246
香根草,247
香草,248
香根草,249
檀香,250
廣藿香,251
雪松,252
琥珀,253
皮革,254
乳香,255
檀香,256
琥珀,257
廣藿香,258
雪松,259
橡苔,260
法國勞丹脂,261
檀香,262
廣藿香,263
零陵香豆,264
麝香,265
琥珀,266
香草,267
橡木,268
香根草,269
白琥珀,270
覆盆子,271
羊絨木,272
麝香,273
羊絨木,274
檀香木,275
煙草,276
琥珀,277
檀香木,278
香根草,279
檀香,280
香草,281
白麝香,282
暹羅安息香,283
鳶尾草,284
香草,285
白麝香,286
龍涎香,287
琥珀木,288
麝香錦葵,289
nan,290
零陵香豆,291
琥珀,292
焚香,293
琥珀,294
麝香,295
琥珀,296
香草,297
檀香,298
零陵香豆,299
雪松,300
檀香,301
麝香,302
棉花,303
麝香雪松,304
香柏木,305
薰香,306
香根草,307
天鵝絨般的麝香,308
香豆,309
香根草,310
麝香,311
廣藿香,312
弗吉尼亞雪松,313
香草,314
廣藿香,315
癒創木,316
檀香木,317
含苔蘚蜜麝香琥珀,318
柏樹,319
癒創木,320
檀香木,321
麝香,322
琥珀,323
琥珀,324
廣藿香,325
香草,326
白木,327
豆,328
琥珀,329
麝香,330
橡木,331
香根草,332
雪松,333
羊絨木,334
白雪松提取物,335
麝香,336
洋甘菊,337
羅勒,338
廣藿香,339
零陵香,340
琥珀,341
廣藿香印尼,342
香根草,343
果子狸,344
香草,345
雪松木,346
紙莎草白琥珀,347
麝香,348
香根草,349
檀香木,350
雪松,351
檀木,352
龍涎香,353
橙花,354
雪松,355
蜂蜜,356
檀香,357
琥珀,358
雪松,359
檀香,360
香草,361
廣藿香,362
檀香,363
麝香,364
桃皮筆記,365
琥珀,366
珍貴木材協議,367
麝香,368
雪松,369
檀香,370
香根草,371
香草,372
琥珀,373
麝香,374
雪松,375
麝香,376
琥珀,377
木質元素,378
礦物琥珀,379
木香,380
鼠尾草,381
馬德拉斯木,382
黃葵籽,383
東加豆,384
琥珀木,385
麝香,386
雪松,387
琥珀,388
檀香,389
深香草,390
零陵香豆,391
廣藿香,392
橡苔,393
雪松,394
龍涎香,395
羊絨木,396
檀香木,397
廣藿香,398
安息香,399
煙薰香草,400
廣藿香,401
白麝香,402
香草,403
木本香調,404
廣藿香,405
香草,406
香根草,407
奶油,408
天芥菜,409
麝香,410
廣藿香,411
可可,412
蜂蜜,413
廣藿香,414
檀香,415
木質元素,416
麝香,417
北非雪松,418
喜馬拉雅雪松,419
佛吉尼亞雪松,420
麝香,421
白花,422
香草,423
黑莓,424
香根草,425
癒創木,426
香草,427
檀香,428
麝香,429
檀木,430
琥珀,431
雪松,432
麝香,433
橡樹苔,434
琥珀,435
安息香,436
肉桂,437
馬達加斯加香草,438
檀香木,439
安息香,440
西洋杉,441
香根,442
甜椒,443
香草,444
廣藿香,445
木香,446
降龍涎香醚,447
琥珀,448
廣藿香,449
皮革,450
沉香木,451
柑橘,452
木香,453
杜松,454
檀香,455
皮革,456
香根草,457
豆,458
琥珀,459
麝香,460
香草,461
肉桂,462
煙草,463
檀香木,464
龍涎香,465
皮革,466
帕杜裏,467
廣藿香,468
nan,469
白色光滑樹林,470
麝香,471
烏木,472
烏木,473
雪松,474
香根草,475
琥珀,476
零陵香豆,477
可可,478
琥珀木,479
黑香豆,480
麝香,481
琥珀,482
奶油木,483
天鵝絨,484
香根草,485
可可豆莢,486
雪松木麝香,487
樺木,488
香根草雪松白麝香,489
波斯樹脂,490
檀香,491
麝香,492
琥珀,493
香草,494
麝香,495
雪松,496
皮革,497
香,498
香根草,499
零陵香豆,500
大西洋香柏木,501
喀什米爾麝香,502
橡樹苔,503
廣藿香,504
琥珀木香,505
雪松木,506
水晶苔蘚,507
皮革,508
琥珀,509
廣藿香,510
麝香,511
橡苔,512
香草,513
香根草,514
蘭花菖蒲麝香,515
甘草,516
麝香,517
波旁香草,518
木,519
零陵香豆,520
檀香,521
香草,522
琥珀,523
麝香,524
覆盆子,525
廣藿香,526
沉香木沉香木,527
檀香木,528
暹羅安息香,529
安息香,530
麝香,531
香,532
檀香,533
琥珀,534
廣藿香,535
麝香,536
安息香,537
焦糖,538
香根草,539
香草,540
香根草,541
檀香木,542
廣藿香,543
雪松,544
香根草,545
安息香脂,546
麝香,547
清新木質香調沉澱歲月經典,548
皮革,549
檀香,550
藏紅花,551
沒藥,552
焦糖餅,553
香草奶油,554
冷杉,555
雪松,556
馬達加斯加香根草,557
橡苔,558
雪松,559
檀木,560
琥珀,561
廣藿香,562
濃鬱的花香融合了五月玫瑰,563
茉莉,564
充份混合後的香味讓您的心靈更接近更令女人柔美纖細的特質沉浮於粼粼波光中,565
樹,566
麝香,567
勞丹脂,568
皮革,569
琥珀,570
安息香,571
橡苔,572
香草,573
檀香,574
雪松,575
香草,576
野草,577
雪松,578
龍涎香,579
煙草,580
羊絨木,581
橡苔,582
雪松,583
麝香,584
雪松,585
麝香,586
龍涎香醚,587
香根草根,588
琥珀,589
麝香,590
香草,591
香草祕魯香脂克什米爾木,592
木香,593
廣藿香,594
薰草豆,595
白木,596
茉莉花,597
檀香樹,598
琥珀木,599
芙蓉除草劑,600
巖薔薇和乳香,601
龍涎香,602
雪松,603
廣藿香,604
檀香,605
麝香,606
檀香,607
麝香,608
nan,609
黃色的米拉貝李子花蜜,610
廣香,611
蜂蜜,612
感性迷人的木質調,613
羊絨木,614
香草,615
琥珀,616
麝香,617
檀木,618
麝香,619
朗姆酒,620
天竺葵,621
雪松,622
琥珀,623
蜂蜜,624
麝香,625
鳶尾花,626
薰香,627
勞丹脂,628
肉桂,629
焦糖,630
苯偶姻,631
麝香,632
蜂蜜,633
通卡豆,634
白麝香,635
檀木,636
琥珀,637
麝香,638
安息香,639
杜松,640
廣藿香,641
菸草,642
琥珀,643
麝香,644
香草,645
紫檀,646
白麝香,647
檀香木麝香克什米爾木鳶尾根,648
普通話葉,649
佛手柑,650
樺樹,651
雪松,652
檀香木,653
橄欖樹,654
印尼廣藿香,655
葉子,656
白麝香,657
琥珀色,658
檀香,659
麝香,660
雪松,661
檀香,662
麝香,663
苔蘚,664
廣藿香,665
琥珀,666
琥珀,667
果仁糖,668
琥珀,669
麝香,670
香草,671
檀香,672
雪松,673
麝香,674
白色麝香,675
琥珀,676
麝香,677
雪松,678
零陵香豆,679
伴侶,680
白麝香,681
柚木,682
檀香,683
零陵香豆,684
琥珀,685
白麝香,686
琥珀木,687
雞蛋花,688
麝香,689
焚香,690
桃,691
雪松木,692
橡苔,693
檀香,694
木白,695
麝香,696
雪松,697
廣藿香琥珀紫羅蘭,698
白木,699
琥珀,700
廣藿香,701
零陵香豆,702
安息香,703
龍涎香,704
白麝香,705
檀香,706
廣藿香,707
香根草,708
白麝香,709
雪松香根草降龍涎香醚,710
皮革煙草零陵香豆,711
白木麝香,712
麝香,713
木質琥珀,714
香料,715
琥珀,716
鳶尾花,717
麝香,718
安息香,719
廣藿香,720
白木,721
乳香,722
羊絨木,723
檀香,724
nan,725
廣藿香,726
大馬士革玫瑰精華,727
麝香,728
弗吉尼亞,729
雪松,730
皮革,731
廣藿香,732
烏德,733
勞丹脂,734
皮革,735
薰草豆,736
廣藿香,737
麝香,738
橡苔,739
麝香,740
木本,741
天花,742
橡木苔,743
皮革,744
麝香,745
檀香,746
廣藿香,747
白麝香,748
木質香,749
鳶尾花,750
廣藿香,751
香草,752
咖啡,753
焦糖,754
香草,755
檀香,756
麝香,757
琥珀,758
木質香,759
香草,760
檀香木,761
雪松,762
廣藿香,763
皮革,764
苦橙,765
龍涎香,766
雪松,767
琥珀,768
檀香木,769
琥珀,770
白麝香,771
琥珀,772
香草,773
勞丹脂,774
檀香木,775
香草,776
雪松,777
白麝香,778
麝香礦石零陵香豆番紅花香薰,779
白木香,780
麝香,781
琥珀,782
雪松,783
紫羅蘭,784
香根草,785
肉荳蔻花,786
大黃,787
檀香,788
琥珀,789
麝香,790
橡苔,791
雪松,792
櫟扁枝衣巖蘭草雪松木麝香,793
安息香,794
海天香根草,795
樹林,796
鼠尾草,797
羊絨木,798
軟香草,799
琥珀,800
香根草,801
麝香,802
苔蘚,803
菸草,804
零陵香豆,805
香草,806
雪松,807
零陵香豆,808
琥珀,809
檀香,810
千龍木,811
木質調,812
蜂蜜,813
廣藿香,814
麝香,815
檀香木,816
麝香,817
桂花,818
巴杜裏,819
檀香,820
香草,821
琥珀,822
檀香,823
雪松,824
廣藿香,825
白木,826
椰子,827
麝香,828
保加利亞玫瑰純香,829
檀香,830
廣藿香,831
唐卡豆,832
安息香,833
琥珀木,834
檀香木,835
雪松木,836
虹膜,837
奶油,838
檀香,839
加利福尼亞州雪松,840
香草,841
麝香,842
雪松,843
龍涎香,844
廣藿香,845
金羊絨,846
湯匙豆,847
杏仁奶,848
香草,849
琥珀,850
橡苔,851
麝香,852
法國勞丹脂,853
弗吉尼亞雪松,854
香根草,855
廣藿香,856
麝香,857
黑香豆,858
廣藿香,859
香草,860
安息香雪松香根草甜椒,861
香根草,862
白雪松,863
麝香,864
檀香,865
琥珀,866
麝香,867
雪松,868
蘇合香,869
零陵香豆,870
香草,871
巖薔薇,872
菸葉,873
橡木苔蘚,874
木香廣藿香,875
檀香,876
黑巧克力,877
香,878
琥珀,879
香根草,880
香草,881
香脂,882
麝香,883
檀香木,884
琥珀,885
龍涎香,886
檀木,887
橡木,888
香根草,889
香根草,890
弗吉尼亞雪松,891
橄欖油,892
藿香,893
檀香,894
香草,895
麝香,896
烏木,897
柚木,898
香草,899
龍涎香,900
麝香,901
廣藿香,902
羊絨木,903
降龍涎醚,904
粉紅糖香,905
鳶尾,906
香草,907
白桃,908
粉香元素,909
琥珀,910
廣藿香,911
苔,912
皮革,913
海地香根草,914
麝香,915
葡萄柚,916
香草,917
琥珀,918
伍茲,919
琥珀麝香橡木苔巴西紅木,920
烏木,921
琥珀,922
麝香,923
琥珀,924
紫檀香,925
維吉尼亞雪松,926
香草,927
麝香,928
雪松,929
龍涎香,930
艾草,931
檀香,932
琥珀,933
零陵香豆,934
香草,935
浮木,936
麝香,937
零陵香豆,938
琥珀,939
木質香,940
檀香木,941
麝香,942
雪松,943
麝香雪松,944
檀香木,945
琥珀,946
麝香,947
橡木苔,948
雪松,949
橡苔,950
麝香,951
雪松,952
nan,953
皮革,954
木香調,955
琥珀,956
印度廣藿香,957
香根草,958
雪松,959
白麝香,960
紅生薑麝香檀香,961
麝香,962
琥珀,963
檀香,964
麝香,965
澳大利亞檀香,966
香草,967
琥珀,968
薰香,969
香草,970
麝香貓,971
麝香,972
香根草,973
檀香,974
廣藿香,975
麝香純正,976
通卡,977
琥珀,978
金黃琥珀,979
焦糖,980
香草藥,981
琥珀,982
檀香,983
