"heart_note","product_id"
梨樹,1
肉和豆子,2
牡丹,3
大溪地花朵,4
茉莉,5
玉蘭,6
牡丹,7
蝴蝶花,8
紅木,9
臭氧,10
紫羅蘭葉,11
茉莉花桑巴克,12
橙花,13
薰衣草,14
粉紅胡椒,15
水果,16
蜂蜜,17
鮮奶油,18
玫瑰,19
榛子醬,20
鳶尾花,21
藍蓮花,22
水仙,23
勞丹脂,24
降龍涎香醚,25
薰衣草,26
丁香,27
白松香,28
茉莉,29
丁香,30
玫瑰,31
荷花,32
水仙,33
土耳其玫瑰,34
牡丹,35
梨,36
桃子,37
覆盆子葉,38
橙花,39
康乃馨,40
鼠尾草,41
天竺葵,42
茉莉,43
薰衣草,44
檸檬馬鞭草,45
牡丹,46
苿莉花,47
香根草東加豆廣藿香,48
黑加侖,49
茉莉,50
玫瑰,51
桃花,52
茉莉,53
木蘭,54
金銀花,55
龍涎香,56
蘋果,57
海,58
蓮花,59
菖蒲,60
天竺葵橙花茉莉檀香,61
玉蘭,62
油桃,63
山谷的百合花,64
桃,65
甘蔗,66
皮納,67
玫瑰,68
茉莉,69
牡丹,70
晚香玉,71
小蒼蘭,72
虹膜,73
紫羅蘭,74
大溪地花,75
蘭花,76
焦糖布丁,77
黑香草豆,78
水晶,79
康乃馨,80
肉桂,81
茉莉,82
鈴蘭,83
松樹針,84
肉桂,85
肉豆蔻,86
橡苔,87
薰衣草,88
鼠尾草,89
佩普,90
茉莉桂樹兔子花牡丹鈴蘭香茅,91
白牡丹,92
桂花,93
廣藿香,94
蜂蜜,95
焦糖,96
雪松,97
琥珀,98
天竺葵,99
羊絨木,100
茉莉,101
晚香玉,102
百合,103
野玫瑰,104
竹子,105
玫瑰,106
茉莉,107
廣藿香,108
天竺葵,109
羅勒,110
鼠尾草,111
紫蘿蘭,112
野生玫瑰,113
蘋果花,114
荔枝,115
茉莉花瓣,116
紫羅蘭,117
花瓣,118
沙巴茉莉,119
薰衣草,120
四川辣椒,121
天竺葵,122
廣藿香,123
香根草,124
粉紅胡椒,125
nan,126
桂冠肉荳蔻,127
紫羅蘭,128
格拉斯玫瑰,129
廣藿香,130
白茉莉,131
黃牡丹,132
玫瑰,133
梔子花,134
晚香玉,135
茉莉,136
橙子花,137
粉色胡椒,138
伊蘭伊蘭,139
鈴蘭,140
晚香玉,141
茉莉,142
百合,143
玫瑰,144
巴西玫瑰木,145
香菜,146
奈若利橙花,147
天竺葵,148
鈴蘭,149
茴香,150
橙花,151
葡萄柚開花,152
芙蓉,153
種子,154
黑蘭花,155
茉莉,156
玫瑰,157
依蘭,158
百合花,159
桂竹香,160
金銀花,161
石竹,162
歐洲露莓花,163
星茉莉,164
蒂亞雷,165
依蘭,166
薄荷,167
琥珀,168
薰衣草,169
廣藿香,170
羅勒,171
卵石,172
鳶尾根,173
玫瑰,174
牡丹,175
飽滿辛辣的生薑,176
深沉的雪松和花香,177
奇異的搭配完美融合,178
紫羅蘭葉,179
板栗愈創木杜松,180
玉蘭,181
晚香玉,182
鳶尾,183
茉莉,184
風信子,185
白花,186
依蘭,187
鈴蘭,188
蓮花,189
薑,190
廣藿香,191
莫吉托,192
紫羅蘭葉,193
晚香玉,194
白玫瑰,195
竹子,196
茉莉,197
葡萄柚,198
乾燥的乾雪松,199
勞丹脂,200
香根草,201
東加豆,202
廣藿香,203
香,204
乳香,205
牛奶,206
茉莉,207
香根草,208
檀香,209
愈創木,210
弗吉尼亞雪松,211
肉桂,212
小蒼蘭,213
紫羅蘭,214
埃及天竺葵,215
蘋果,216
肉桂,217
薰衣草,218
天竺葵,219
薰衣草,220
柏樹,221
鳶尾花,222
橙花,223
nan,224
黑莓葉,225
鈴蘭,226
蘆葦,227
茶玫瑰,228
肉桂葉,229
零陵香豆,230
晚香玉,231
危地馬拉小豆蔻,232
杜松,233
蘋果,234
天竺葵,235
杏仁,236
檸檬,237
杏仁,238
保加利亞玫瑰,239
覆盆子,240
橙花,241
小蒼蘭,242
茉莉,243
桂花,244
辣椒粉,245
廣藿香,246
蓮花,247
白牡丹,248
山百合,249
松樹,250
杜松子,251
月桂葉,252
西瓜,253
