"product_id","special_offer_label","product_name","top_note","heart_note","base_note","brand","brand_id","selling_price","website_id"
394,特價,Hermes Bel Ami Vetiver for men (100 ML / 3.4 FL OZ),山峡,白花、露珠、野玫瑰、綠色筆記、茉莉花,akigawood、白麝香,Hermès,17,936.00,3
395,特價,Hermes Eau De Mandarine Ambree for men (100 ML / 3.4 FL OZ),小蒼蘭、香、中國桂花,晚香玉、百合、牡丹、鳶尾根,海地香根草、麝香、羊绒木,Hermès,17,825.00,3
396,特價,Hermes Eau De Gentiane Blanche for men (100 ML / 3.4 FL OZ),佛手柑、檸檬,黑加仑、茉莉、玫瑰、桃花,白麝香,Hermès,17,775.00,3
59,特價,Creed Royal Water Eau De Parfum for Men (100 ml / 3.4 FL OZ),佛手柑、橘子、白松果,萬壽菊、茉莉、玫瑰、奧里斯、橙花、桃子,雪松，檀香，白麝香，琥珀,Creed,117,2910.00,3
78,特價,Carolina Herrera 212 White Eau De Toilette for Women (60 ml 2 FL OZ),肉豆蔻、胡椒,艾蒿、薰衣草,皮革，檀香，琥珀，椰子，烟草,Uncategorized,71,587.00,3
154,特價,Ralph Lauren Polo green men (237 ML / 8 FL OZ),薄荷、柠檬、冬青,香料、棕榈叶,雪松,Ralph Lauren,121,1039.00,3
160,特價,Narciso Rodriguez Rouge for women (150 ML / 5 FL OZ),基调：檀香木、香草,意大利茉莉、龙涎香、保加利亚玫瑰,檀香，香草,Narciso Rodriguez,5,1330.00,3
95,特價,Calvin Klein Euphoria Amber Gold Eau De Parfum For Women (100 ml / 3.4 FL OZ),鹽、粉紅胡椒、黑胡椒,龍涎香、鳶尾,香根草、檀香、羊绒、麝香,Calvin Klein,65,511.00,3
197,特價,Azzaro pour homme (200 ML / 6.8 FL OZ),樹莓，黑莓，橘子。,玫瑰，茉莉，兰花,黑巧克力，琥珀，木质香,Azzaro,103,486.00,3
203,特價,Azzaro Chrome Sport Eau De Toilette for men (100 ml / 3.4 FL OZ),佛手柑、枸杞,石榴、木槿、睡莲,麝香、弗吉尼亚、雪松,Azzaro,103,378.00,3
242,特價,Ariana Grande God Is A Woman Eau De Parfum (100 ml / 3.4 FL OZ),玫瑰、意大利黑醋、红辣椒、盐,薰衣草、橙花、橙花,雪松、广藿香,Ariana Grande,137,1000.00,3
243,特價,Aramis New West Eau De Toilette for men (100 ml / 3.4 FL OZ),姜，玫瑰,透骨草、茉莉、金银花、仰光爬山虎,麝香、桂花、帕图利,Aramis,123,365.00,3
573,特價,Britney Spears Fantasy Midnight (100 ML / 3.4 FL OZ),橘子、佛手柑,荳蔻、花卉、辣椒,香草、檀香、零陵香木、麝香、琥珀,Britney Spears,83,360.00,3
574,特價,Britney Spears Fantasy Eau De Parfum (100 ML / 3.4 FL OZ),蓮花、佛手柑、紫羅蘭葉、白色的梨花,香根草、檀香、琥珀、羊绒木,安息香，麝香，零陵香豆，白蜂蜜,Britney Spears,83,312.00,3
575,特價,Azzaro Pour Elle Eau De Parfum for women (75 ML / 2.5 FL OZ),朗姆酒、香料,皮革、晚香玉、鳶尾,零陵香木、薰草豆、安息香,Azzaro,103,400.00,3
577,特價,Britney Spears Curious (100 ML / 3.4 FL OZ),綠色橙、姜、香檸檬、荳蔻,肉荳蔻、雪松、野生玫瑰、香料,灰色琥珀、唐卡豆、 廣藿香,Britney Spears,83,270.00,3
578,特價,Britney Spears Prerogative Rave for women (100 ML / 3.4 FL OZ),石榴、麝香、玫瑰、佛手柑,锦緞玫瑰、茉莉花、牡丹、桃子,麝香、栗子、檀香、香草,Britney Spears,83,332.00,3
579,特價,Armani Acqua Di Gio for women (100 ML / 3.4 FL OZ),生姜、橘子、水,山茱萸、金銀花、木蘭,弗吉尼亞雪松、沙子、麝香,Armani,127,790.00,3
