"product_id","product_name","rating","top_note","heart_note","base_note","upload_date","season_id","over_one_year_test","brand_id","selling_price","website_id","origin_id"
490,KENZO - Flower By Kenzo一枝花濃香水50ml [平行進口],5.0,五月花和黑加侖,帕爾馬紫羅蘭，保加利亞玫瑰和杏仁,愈傷草樹脂、白麝香、法式香草和琥珀。,"16/05/2024",1,NaN,256,398.00,2,15
182,CREED - Aventus奢華拿破崙之水香水 100ml (平行進口),5.0,佛手柑、黑醋慄、鳳梨和蘋果,樺木、廣藿香、玫瑰和摩洛哥茉莉,麝香、橡樹苔、香草和龍涎香。,"14/08/2023",2,NaN,161,2488.00,2,15
640,DAISY - Marc Jacobs馬克雅克布 天空女士淡香水 EDT 50ml （3616302026326）,0.0,礦物香調、紫羅蘭葉、木瓜,蓮花、紫羅蘭、茉莉,海藻、麝香、檀香,"22/07/2023",2,NaN,146,380.00,2,15
601,BURBERRY - 巴寶莉 - Brit For Him風格男性淡香水100ml (無盒裝) (平行進口),1.0,佛手柑、 薑、 霜凍豆蔻和綠柑橘,肉豆蔻、雪松和野玫瑰,灰麝香、頓加豆和東方木材。,"29/11/2023",3,NaN,145,418.00,2,8
381,Dior - 曠野之心男士淡香水 200ml [平行進口],0.0,香檸檬，橘子，欖香,檀木,香草，乳香，零陵香豆,"12/12/2023",4,NaN,39,1250.00,2,
405,ANNA SUI - Anna Sui 綺幻飛行淡香水 5毫升,5.0,梨子、佛手柑、粉紅胡椒, 鈴蘭、玫瑰,爆米花、香草,"20/06/2023",2,NaN,193,59.00,2,15
685,Jo Malone - 鼠尾草與海鹽古龍香水 30ml (033720)（盒裝+絲帶)平行進口,0.0,黃葵籽,海鹽,鼠尾草.,"03/04/2024",1,NaN,14,398.00,2,23
352,Jo Malone - 鼠尾草與海鹽古龍香水 9ml (有噴頭) 平行進口,0.0,黃葵籽,海鹽,鼠尾草.,"24/04/2024",1,NaN,14,125.00,2,23
968,Ralph Lauren - Ralph Lauren - 紅色馬球淡香水小樣-1.2ml [平行進口],0.0,紅蘋果&肉桂,仙客來,紅生薑，麝香和檀香,"15/08/2023",2,NaN,121,28.00,2,15
697,VERSACE - POUR HOMME男士噴式淡香水50ml (平行進口),0.0,源自地中海的配料，中調是鼠尾草和藍風信子，後調是琥珀和麝香，帶來神秘感。,鼠尾草和藍風信子,琥珀和麝香,"12/08/2023",2,NaN,214,399.00,2,9
217,ANNA SUI - 安娜蘇 美人魚女士淡香水EDT 75ML[平行進口],0.0,血橙、橘子和小豆蔻,茉莉、牡丹和荔枝,木質香、香草和蜂蜜,"06/12/2023",4,NaN,193,310.00,2,29
848,Burberrys' - 周末女香水 50ml [平行進口],4.0,NaN,NaN,NaN,"02/12/2023",4,NaN,145,216.00,2,8
940,KORMESIC - 【290ml】KORMESIC 身體香水噴霧 清香白茶味香水 持久香調 花香香氛噴霧,0.0,NaN,NaN,NaN,"05/03/2024",1,NaN,312,65.00,2,20
1001,全城熱賣 - [高級香水香]天然植物蠟無煙香薰蠟燭(黑白杯隨機發貨),0.0,NaN,NaN,NaN,NaN,,NaN,148,45.00,2,20
994,全城熱賣 - [馬卡龍糖果-紅] 香水爽膚水化妝水分裝 便攜噴霧瓶 5ml,0.0,NaN,NaN,NaN,"15/06/2023",2,more_then_1_year,148,42.00,2,20
993,全城熱賣 - [馬卡龍糖果-粉紫] 香水爽膚水化妝水分裝 便攜噴霧瓶 5ml,1.0,NaN,NaN,NaN,"15/06/2023",2,more_then_1_year,148,42.00,2,20
